id,type,title,director,cast,country,release_year,rating,duration,genre,description,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
235,TV Show,Let's Fight Ghost,Kongkiat Khomsiri,"Suppapong Udomkaewkanjana, Patchanan Jiajirachote, Thongpoom Siripipat, Apiwit Reardon, Kornrawich Sungkitbool, Waratthaya Wongchayaporn, Wannasak Sirilar",Thailand,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","A med student with a supernatural gift tries to cash in on his abilities by facing off against ghosts, till a wandering spirit brings romance instead.",,7.7/10,40/100,1,0,0,0
236,TV Show,Shadow and Bone,,"Jessie Mei Li, Archie Renaux, Ben Barnes, Freddy Carter, Amita Suman, Kit Young, Danielle Galligan, Calahan Skogman, Sujaya Dasgupta, Simon Sears, Daisy Head, ZoÃ« Wanamaker, Luke Pasqualino, Julian Kostov",United States,2021,TV-14,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,16+,7.7/10,82/100,1,0,0,0
237,TV Show,Zero,,"Giuseppe Dave Seke, Haroun Fall, Beatrice GrannÃ², Dylan Magon, Daniela Scattolin, Madior Fall, Virgina Diop",Italy,2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas","A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream.",,5.7/10,50/100,1,0,0,0
238,TV Show,Izzy's Koala World,,"Izzy Bee, Ali Bee, Tim Bee",Australia,2021,TV-Y,2 Seasons,Kids' TV,Young koala caretaker Izzy Bee and her family rescue cuddly creatures in need and help them head back into the wild on Australiaâ€™s Magnetic Island.,all,8.0/10,45/100,1,0,0,0
239,TV Show,PJ Masks,,"Jacob Ewaniuk, Kyle Breitkopf, Addison Holley","France, United Kingdom",2019,TV-Y,3 Seasons,Kids' TV,"Three 6-year-old kids who live normal lives during the day become superheroes at night, fighting crime as a team known as PJ Masks.",all,5.5/10,55/100,1,0,0,1
240,TV Show,PJ Masks,,"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley","France, United Kingdom",2015,TV-Y7,5 Seasons,"Action-Adventure, Animation, Kids",Look out Night Time Baddies the PJ Masks are coming!,all,5.5/10,55/100,1,0,0,1
241,TV Show,Love Naggers,,"Seo Jang-hoon, Kim Sook, Han Hye-jin, Kwak Jung-eun, Ju Wu-jae",South Korea,2021,TV-14,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows","From the quirky to the scandalous, any relationship is fair game for a panel of love experts who comb over text messages and revel in reenactments.",,,16/100,1,0,0,0
242,TV Show,Durarara!!,,"Toshiyuki Toyonaga, Miyuki Sawashiro, Mamoru Miyano, Kana Hanazawa, Hiroshi Kamiya, Daisuke Ono, Jun Fukuyama, Yuichi Nakamura, Yuki Kaji, Ayahi Takagaki, Kazuma Horie, Sanae Kobayashi, Takaya Kuroda, Kari Wahlgren, Darrel Guilbeau, Bryce Papenbrook, Michelle Ruff, Johnny Yong Bosch, Crispin Freeman, Yuri Lowenthal, Steve Blum",Japan,2016,TV-MA,1 Season,"Anime Series, Crime TV Shows, International TV Shows","A young man looking for excitement moves to Ikebukuro, a district in Tokyo, where he finds a world of mystery in which the past and present mesh.",16+,7.9/10,62/100,1,1,0,0
243,TV Show,Durarara!!,,,Japan,2010,TV-14,1 Season,"Action, Adventure, Anime","Mikado Ryugamine moves to Ikebukuro, Tokyo and enters school there. According to his childhood friend, Masaomi, there are two untouchable men in the area. After Mikado sees a jet black motorcycle with a headless ride, a series of random attacks and events begin to occur on the streets of Ikebukuro.",16+,7.9/10,62/100,1,1,0,0
244,TV Show,Gilmore Girls,,"Lauren Graham, Alexis Bledel, Scott Patterson, Keiko Agena, Yanic Truesdale, Kelly Bishop, Edward Herrmann, Melissa McCarthy, Sean Gunn, Liza Weil, Liz Torres, Jared Padalecki",United States,2006,TV-14,7 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas","Fiercely independent single mom Lorelai raises gifted, Ivy League-bound daughter Rory amid a continual stream of quick-witted repartee.",16+,8.1/10,84/100,1,0,0,0
245,TV Show,High-Rise Invasion,,"Haruka Shiraishi, Shiki Aoki, Akira Sekine, Junya Enoki, Yuuichirou Umehara, Megumi Ogata, Shoya Chiba, Makoto Furukawa, Seiro Ogino, Koji Yusa, Chika Anzai, Asami Seto, Shizuka Ito, Juri Kimura, Kaito Ishikawa, Yoko Hikasa, Jun Fukuyama",Japan,2021,TV-MA,1 Season,"Anime Series, International TV Shows, TV Thrillers","High schooler Yuri finds herself atop a skyscraper in a strange world, where she must survive against masked assailants bent on killing their prey.",18+,6.7/10,54/100,1,0,0,0
246,TV Show,Next in Fashion,,"Tan France, Alexa Chung",United States,2020,TV-14,1 Season,Reality TV,"Talented designers from around the world compete for $250,000 and the chance to become the next big thing in fashion.",16+,7.3/10,52/100,1,0,0,0
247,TV Show,Peasants Rebellion,,"Ward El Kal, AimÃ©e Sayah, Bassem Moughnie, Carlos Azar, Sara Abi Kanaan, Wesam Hanna",Lebanon,2018,TV-14,1 Season,"International TV Shows, TV Dramas","In feudalistic Lebanon, farmers revolt against the nobility under the leadership of a revolutionary figure who champions the oppressed.",,8.5/10,46/100,1,0,0,0
248,TV Show,Power Players,,"Kieran Walton, Carlos Salazar, Greg Chun, Jamieson Price, Reba Buhr, Todd Haberkorn, Landon McDonald, Scott Whyte, Paul Haapaniemi","United States, France",2020,TV-Y,3 Seasons,Kids' TV,A kid transforms into an action figure-sized superhero and teams with his toys in a fight against a villainous robot to save the world.,7+,6.0/10,37/100,1,0,0,0
249,TV Show,Ricky Zoom,,"Max Fincham, Twinkle Jaiswal, Bradley Bissett, Dylan Naden, Adam Longworth, Ashton Frank, Edward Moloney, Esther Coles, Jess Robinson, Miranda Pointer, Osian Thompson, Simon Lipkin, Richard David-Caine","China, United Kingdom",2019,TV-Y,1 Season,"British TV Shows, Kids' TV",Race along with Ricky Zoom and his loyal Bike Buddies as they zip around their two-wheeled town of Wheelford on rescue missions and learn speedy stunts!,all,6.5/10,39/100,1,0,0,0
250,TV Show,Sonic X,,"Junichi Kanemaru, Sanae Kobayashi, Ryo Hirohashi, Taeko Kawata, Nobutoshi Canna, Koji Yusa, Rumi Ochiai, Sayaka Aoki, Chikao Otsuka",Japan,2003,TV-Y7,2 Seasons,"Anime Series, Kids' TV","A mission gone awry transports Sonic the Hedgehog, his friends, Dr. Eggman and the Chaos Emeralds to another dimension: Earth.",16+,6.2/10,57/100,1,1,1,0
251,TV Show,Sonic X,,"Jason Griffith, Mike Pollock, Suzanne Goldish, Lisa Ortiz, Amy Palant, Rebecca Honig, Kathleen Delaney, Matt Hoverman, Amy Birnbaum, Darren Dunstan, Andrew Rannells, Gregory Abbey, Oliver Wyman, James Carter Cathcart, Kayzie Rogers, Rachael Lillis",,2005,TV-Y7,3 Seasons,"Animation, Anime, Kids","Sonic, his friends, and the evil Dr. Eggman are sucked into a warp! They find themselves in the human world where Sonic finds a new friend, a young boy named Chris. Sonic speeds through battles with Eggman, trying to retrieve all of the Chaos Emeralds so that everyone can go back home!",16+,6.2/10,57/100,1,1,1,0
252,TV Show,Sonic X,,,Japan,2003,TV-Y7,3 Seasons,"Adventure, Anime, International","During a mission on Mobius to rescue Cream the Rabbit and Cheese the Chao from Dr. Eggman's headquarters, Sonic and his friends are caught in an explosion that transports them to another dimension occupied by humans.",16+,6.2/10,57/100,1,1,1,0
253,TV Show,Dad Stop Embarrassing Me!,,"Jamie Foxx, David Alan Grier, Kyla-Drew, Porscha Coleman, Jonathan Kite, Heather Hemmens, Valente Rodriguez",United States,2021,TV-14,1 Season,TV Comedies,A single dad and cosmetics brand owner figures out fatherhood on the fly when his strong-minded teen daughter moves in with him.,7+,4.2/10,48/100,1,0,0,0
254,TV Show,Fate: The Winx Saga,,"Abigail Cowen, Hannah Van Der Westhuysen, Precious Mustapha, Eliot Salt, Elisha Applebaum, Danny Griffin, Sadie Soverall, Freddie Thorp, Rob James-Collier, Eve Best, Lesley Sharp","Italy, United Kingdom",2021,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas","Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school.",18+,6.9/10,70/100,1,0,0,0
255,TV Show,House of Cards,,"Kevin Spacey, Robin Wright, Kate Mara, Corey Stoll, Sakina Jaffrey, Kristen Connolly, Constance Zimmer, Sebastian Arcelus, Nathan Darrow, Sandrine Holt, Michel Gill, Elizabeth Norment, Mahershala Ali, Reg E. Cathey, Molly Parker, Derek Cecil, Elizabeth Marvel, Kim Dickens, Lars Mikkelsen, Michael Kelly, Joel Kinnaman, Campbell Scott, Patricia Clarkson, Neve Campbell",United States,2018,TV-MA,6 Seasons,"TV Dramas, TV Thrillers","A ruthless politician will stop at nothing to conquer Washington, D.C., in this Emmy and Golden Globe-winning political drama.",18+,8.7/10,88/100,1,0,0,0
256,TV Show,Indian Matchmaking,,,"United States, India",2020,TV-14,1 Season,"Reality TV, Romantic TV Shows","Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era.",16+,6.2/10,56/100,1,0,0,0
257,TV Show,Jeffrey Epstein: Filthy Rich,,,United States,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries",Stories from survivors fuel this docuseries examining how convicted sex offender Jeffrey Epstein used his wealth and power to carry out his abuses.,18+,7.1/10,69/100,1,0,0,0
258,TV Show,Law School,,"Kim Myung-min, Kim Beom, Ryu Hye-young, Lee Jung-eun, Park Hyuk-kwon, An Nae-sang, Chung Won-joong, Lee Su-kyoung, Lee David, Go Youn-jung, Hyunwoo",South Korea,2021,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students.",,8.2/10,58/100,1,0,0,0
259,TV Show,Living with Yourself,,"Paul Rudd, Aisling Bea, Desmin Borges, ZoÃ« Chao, Karen Pittman",United States,2019,TV-MA,1 Season,"TV Comedies, TV Dramas","Burned out on life, Miles undergoes a strange procedure at a strip mall spa â€“ and wakes to find he's been replaced by a better version of himself.",18+,7.2/10,74/100,1,0,0,0
260,TV Show,Signal,,"Kim Hye-su, Lee Je-hoon, Cho Jin-woong, Jang Hyun-sung, Jeong Hae-gyoon, Kim Won-hae, Jung Han-bi, Lee Yu-jun, Son Hyeon-ju",South Korea,2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","Communicating via a walkie-talkie that transcends time, a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice.",,8.6/10,64/100,1,0,0,0
261,TV Show,Slasher,,"Katie McGrath, Brandon Jay McLaren, Steve Byers, Patrick Garrow, Dean McDermott, Christopher Jacot, Wendy Crewson, Leslie Hope, Lovell Adams-Gray, Jim Watson, Paulino Nunes, Ty Olsson, Joanne Vannicola, Sebastian Pigott, Madison Cheeatow, Melinda Shankar, Kaitlyn Leeb, Rebecca Liddiard, Paula Brancati, Salvatore Antonio, Lisa Berry, Gabriel Darku, Erin Karpluk, Mercedes Morris, Ilan Muallem, Baraka Rahmani, Rosie Simon, Robert Cormier",Canada,2019,TV-MA,3 Seasons,"TV Horror, TV Mysteries, TV Thrillers",Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.,18+,6.7/10,67/100,1,0,0,0
262,TV Show,The Underclass,Pass Patthanakumjon,"Nannaphas Loetnamchoetsakun, Praewa Suthamphong, Sumitra Duangkaew, Tanutchai Wijitvongtong, Tarisa Preechatangkit, Natticha Chantaravareelekha, Miori Ohkubo, Pakwan Noijaiboon, Napaphat Worraphuttanon, Vathusiri Phuwapunyasiri, Rinrada Inthaisong, Suchaya Saenkhot, Mananya Kaoju, Kandis Wanarun, Ekapol Deebunmee, Panta Pattanaampaiwong, Rachaya Tupkunanon, Supasawad Buranawech, Thitirat Rojsangrat, Sawanee Utoomma, Phattharanarin Mueanarit, Chanyapuk Numprasop",Thailand,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, Teen TV Shows","After getting dropped from an elite program, a student gets tangled in the affairs of a high school gang while trying to find her own identity.",,6.2/10,38/100,1,0,0,0
263,TV Show,Unnatural Selection,,,United States,2019,TV-MA,1 Season,"Docuseries, Science & Nature TV","From eradicating disease to selecting a childâ€™s traits, gene editing gives humans the chance to hack biology. Meet the real people behind the science.",,8.0/10,54/100,1,0,0,0
264,TV Show,The Baker and the Beauty,,"Victor Rasuk, Nathalie Kelley, Dan Bucatinsky, David Del Rio, Michelle Veintimilla, Lisa Vidal, Carlos GÃ³mez, Belissa Escobedo","Israel, United States",2020,TV-PG,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas","A Miami baker and a fashionista try to make romance work despite the heat they face from jealous exes, prying family members and invasive paparazzi.",16+,7.4/10,67/100,1,0,1,0
265,TV Show,"Nicky, Ricky, Dicky & Dawn",,"Brian Stepanek, Allison Munn, Aidan Gallagher, Casey Simpson, Mace Coronel, Lizzy Greene",United States,2018,TV-G,4 Seasons,"Kids' TV, TV Comedies","Just because they're quadruplets, that doesn't mean these 10-year-olds always get along. But for all the bickering, they're loyal to the last.",all,5.2/10,51/100,1,0,0,0
266,TV Show,Heaven Official's Blessing,,"Jiang Guangtao, Ma Zhengyang, Wen Sen, Hu Liangwei, Huang Ying",China,2020,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows","Banished to the mortal realm to exorcise ghosts, a deity must reckon with a demon and soon uncovers a dark secret behind the heavenly gods.",,8.4/10,55/100,1,0,0,0
267,TV Show,The Way of the Househusband,,"Kenjiro Tsuda, Shizuka Ito, Kazuyuki Okitsu, Mãƒ»Aãƒ»O, Jun Fukushima, Kimiko Saito, Yoshimasa Hosoya, Masashi Nogawa, Junichi Yanagida, Hochu Otsuka, Atsuko Tanaka",Japan,2021,TV-MA,1 Season,"Anime Series, International TV Shows","After disappearing from the underworld, the legendary yakuza Tatsu, ""the Immortal Dragon,"" resurfaces â€” as a fiercely devoted stay-at-home husband.",16+,8.6/10,45/100,1,0,0,0
268,TV Show,The Big Day,,,India,2021,TV-14,2 Seasons,"International TV Shows, Reality TV, Romantic TV Shows","For six engaged couples, happily ever after begins on a spectacular note in this eye-popping look at Indiaâ€™s multibillion-dollar wedding industry.",18+,4.6/10,46/100,1,0,0,0
269,TV Show,The Wedding Coach,,,,2021,TV-MA,1 Season,"Reality TV, Romantic TV Shows",Former bride and forever comedian Jamie Lee shares her irreverent yet practical tips and tricks for wedding planning with struggling lovebirds.,,4.9/10,42/100,1,0,0,0
270,TV Show,Magical Andes,,,"Uruguay, Germany",2021,TV-G,2 Seasons,"Docuseries, International TV Shows, Science & Nature TV","From Argentina to Colombia, this stunning documentary follows five characters who share their deep connection to South America's majestic mountains.",,7.8/10,48/100,1,0,0,0
271,TV Show,Murder Maps,,Nicholas Day,United Kingdom,2017,TV-MA,2 Seasons,"British TV Shows, Crime TV Shows, Docuseries",Dramatic reenactments paired with archival sources artfully illustrate how police brought some of Britain's most infamous killers to justice.,16+,7.5/10,50/100,1,0,0,0
272,TV Show,Prank Encounters,,Gaten Matarazzo,United States,2021,TV-MA,2 Seasons,"Reality TV, TV Comedies, TV Horror",Monstrous frights meet hilarious reveals on this hidden-camera prank show as real people become the stars of their own full-blown horror movie.,16+,5.2/10,48/100,1,0,0,0
273,TV Show,Secrets of Great British Castles,,Dan Jones,United Kingdom,2016,TV-PG,2 Seasons,"British TV Shows, Docuseries, International TV Shows",Join historian Dan Jones on a journey back in time to the zenith of Britain's most iconic structures and their infamous inhabitants.,7+,7.8/10,52/100,1,0,0,0
274,TV Show,Worn Stories,,,United States,2021,TV-MA,1 Season,"Docuseries, Reality TV","In this funny, heartfelt and moving docuseries, real people unpack the fascinating and quirky stories around their most meaningful pieces of clothing.",,6.6/10,45/100,1,0,0,0
275,TV Show,Haunted: Latin America,AdriÃ¡n GarcÃ­a Bogliano,,"United States, Mexico",2021,TV-14,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows","Real people's terrifying tales of the chilling, unexplained and paranormal come to life with dramatic reenactments in this reality series.",16+,5.4/10,47/100,1,0,0,0
276,TV Show,Robocar Poli,,"Donald Reignoux, Alexis Tomassian, Thomas Sagols, Pierre Francois Pistori, Bruno Magne, Catherine Desplaces, Fily Keita, Adeline Chetail, Bertrand Liebert, Christophe Lemoine",South Korea,2015,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows","When disaster strikes in Brooms Town, police car Robocar Poli, fire truck Robotruck Roy and their friends on the rescue team race to save the day.",,6.7/10,39/100,1,0,0,0
277,TV Show,Yu-Gi-Oh!,,"Dan Green, Eric Stuart, Amy Birnbaum, Darren Dunstan, Wayne Grayson, Tara Sands, Lisa Ortiz, Megan Hollingshead, Madeleine Blaustein, Sam Riegel, Ted Lewis, Gregory Abbey, Jimmy Zoppi",Japan,2005,TV-Y7,1 Season,"Anime Series, Kids' TV","The lives of young Yugi Moto and his friends Joey, Tristan, and TÃ©a are forever changed when a fantasy card game becomes their reality.",,7.9/10,62/100,1,1,1,0
278,TV Show,Yu-Gi-Oh!,,,Japan,2001,TV-Y,5 Seasons,"Adventure, Anime, Kids","Meet Yugi, an eager young freshman at Domino High School. Yugi and his best friends, Joey, Tristan, and Tea share a love of a cool new game that's sweeping the nation...Duel Monsters! In this card-battling game, players pit different mystical creatures against one another in action-packed, high intensity duels.",,7.9/10,62/100,1,1,1,0
279,TV Show,Rainbow High,,"Tara Sands, Anairis QuiÃ±ones, Laura Stahl, Jenny Yokobori, Kira Buckland, Brittany Cox, Brittany Lauda, Christian Banas, Rebeka Thomas, Hayden Summerall, Deneen Melody",United States,2020,TV-Y,1 Season,Kids' TV,"The popular fashion dolls come to life in this animated series as they let their talents and true colors shine at the visual arts school, Rainbow High.",,6.0/10,47/100,1,0,0,0
280,TV Show,Big Time Rush,,"Kendall Schmidt, James Maslow, Carlos Pena, Logan Henderson, Ciara Bravo, Stephen Kramer Glickman, Tanya Chisholm, Challen Cates, Erin Sanders, Matt Riedy",United States,2013,TV-G,4 Seasons,Kids' TV,"After a talent agent discovers four talented pals and turns them into a boy band called Big Time Rush, they must adjust to their exciting new lives.",all,6.4/10,63/100,1,1,1,0
281,TV Show,Magic for Humans Spain,,Antonio DÃ­az,Spain,2021,TV-MA,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows","In this Spanish adaptation of ""Magic for Humans,"" folks of all ages on the streets of Barcelona are amazed by tricks that inspire delight and wonder.",18+,6.4/10,40/100,1,0,0,0
282,TV Show,The Irregulars,,"Mckell David, Thaddea Graham, Jojo Macari, Harrison Osterfield, Darci Shaw, Clarke Peters, Royce Pierreson, Henry Lloyd-Hughes",United Kingdom,2021,TV-14,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","A crew of misfits investigates a series of supernatural crimes in Victorian London for Dr. Watson and his shadowy associate, Sherlock Holmes.",18+,5.9/10,63/100,1,0,0,0
283,TV Show,DOTA: Dragon's Blood,,"Yuri Lowenthal, Lara Pulver, Kari Wahlgren, Alix Wilton Regan, Troy Baker, Freya Tingley, Tony Todd",United States,2021,TV-MA,1 Season,Anime Series,A conflicted yet courageous Dragon Knight must use the power of the dragon within to stop a deadly demon in this epic fantasy based on the online game.,18+,8.0/10,60/100,1,0,0,0
284,TV Show,Pui Pui Molcar,,,Japan,2021,TV-Y7,1 Season,Kids' TV,Theyâ€™re guinea pigs! And theyâ€™re cars! The fuzzy and adorable molcars have lots of fun adventures in this delightful stop-motion animation.,,8.1/10,47/100,1,0,0,0
285,TV Show,Men on a Mission,Jung-ah Im,"Ho-dong Kang, Soo-geun Lee, Sang-min Lee, Young-chul Kim, Jang-hoon Seo, Hee-chul Kim, Kyung-hoon Min",South Korea,2021,TV-14,6 Seasons,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.",16+,8.3/10,52/100,1,0,0,0
286,TV Show,Navillera,,"Park In-hwan, Song Kang, Na Moon-hee, Hong Seung-hee, Cho Seong-ha, Kim Tae-hun, Cheong Hae-kyun, Kim Soo-jin, Jo Bok-rae, Kim Kwon",South Korea,2021,TV-14,1 Season,"International TV Shows, TV Dramas",A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.,,8.8/10,55/100,1,0,0,0
287,TV Show,Alien TV,,"Rob Tinkler, Julie Lemieux, John Cleland, Kyle Dooley, Rupert Degas",,2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies","Alien reporters Ixbee, Pixbee and Squee travel to a lovely but odd planet called Earth, where they attempt to make sense of humans and their hobbies.",7+,6.2/10,42/100,1,0,0,0
288,TV Show,Country Comfort,,"Katharine McPhee, Eddie Cibrian, Ricardo Hurtado, Jamie Martin Mann, Griffin McIntyre, Shiloh Verrico, Pyper Braun, Janet Varney, Eric Balfour",United States,2021,TV-PG,1 Season,TV Comedies,"After hitting the skids in her career, an aspiring country singer finds new life as a nanny for a handsome widower and his five charming children.",7+,6.9/10,52/100,1,0,0,0
289,TV Show,Formula 1: Drive to Survive,,,United Kingdom,2021,TV-MA,3 Seasons,Docuseries,"Drivers, managers and team owners live life in the fast lane â€“ both on and off the track â€“ during one cutthroat season of Formula 1 racing.",16+,8.6/10,74/100,1,0,0,0
290,TV Show,B: The Beginning,,"Hiroaki Hirata, Yuki Kaji, Asami Seto, Hiroki Touchi, Minoru Inaba, Ami Koshimizu, Toshiyuki Toyonaga, Shintaro Tanaka, Atsushi Goto, Toshiyuki Morikawa, Kaito Ishikawa, Satomi Sato, Yu Kitada, Mitsuki Saiga, Kazuya Nakai, Nozomi Kameda, Makoto Awane",Japan,2021,TV-MA,2 Seasons,"Anime Series, Crime TV Shows, International TV Shows","Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target.",18+,7.2/10,61/100,1,0,0,0
291,TV Show,Under Suspicion: Uncovering the Wesphael Case,Alain Brunard,,Belgium,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows","This docuseries follows the high-profile case of Belgian politician Bernard Wesphael, who was accused of murdering his wife in 2013.",,6.3/10,48/100,1,0,0,0
292,TV Show,Waffles + Mochi,,"Michelle Zamora, Russ Walko, Michelle Obama, Jonathan Kidder, Diona Elise Burnett, Taleia Gilliam, Lyric Lewis, Andy Hayward, Piotr Michael, George Konner",United States,2021,TV-Y,1 Season,Kids' TV,Curious puppet pals Waffles and Mochi travel the world exploring the wonders of food and culture while learning how to cook with fresh ingredients.,,7.6/10,47/100,1,0,0,0
293,TV Show,Abla Fahita: Drama Queen,,"Bassem Samra, Donia Maher, Zeina Mansour, Osama Abdallah, Mohamed El Swisi, Rehab Hussien",Egypt,2021,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Comedies","Falsely incriminated, Abla Fahita is separated from her kids, but the self-indulgent diva will stop at nothing to redeem herself and reunite her family.",,6.6/10,43/100,1,0,0,0
294,TV Show,The Lost Pirate Kingdom,,"James Oliver Wheatley, Sam Callis, Thomas Padley, Evan Milton, Samuel Collings, Miles Yekinni, Jack Waldouck, Mia Tomlinson, Kevin Howarth, Mark Gillis, George Watkins, Derek Jacobi","United States, United Kingdom",2021,TV-MA,1 Season,"Docuseries, Science & Nature TV, TV Action & Adventure",The real-life pirates of the Caribbean violently plunder the world's riches and form a surprisingly egalitarian republic in this documentary series.,18+,6.6/10,53/100,1,0,0,0
295,TV Show,Zero Chill,,"Grace Beedie, Dakota Benjamin Taylor, Jade Ma, Jeremias Amoore, Leonardo Fontes, Anastasia ChocholatÃ¡, Sarah-Jane Potts, Doug Rao, Tanja RibiÄ, Oscar Skagerberg, Jerry Kwarteng",United Kingdom,2021,TV-G,1 Season,"British TV Shows, Kids' TV, TV Dramas","Talented teen figure skater Kayla is forced to leave everything behind when her family follows her twin brother, Mac, to a prestigious hockey academy.",,5.7/10,49/100,1,0,0,0
296,TV Show,Love Alarm,,"Kim So-hyun, Jung Ga-ram, Song Kang, Ko Min-si, Z. Hera, Shin Seung-ho, Lee Jae-eung, Song Sun-mi",South Korea,2021,TV-MA,2 Seasons,"International TV Shows, Korean TV Shows, Romantic TV Shows","In a world where an app alerts people if someone in the vicinity likes them, Kim Jojo experiences young love while coping with personal adversities.",,6.8/10,52/100,1,0,0,0
297,TV Show,Paradise PD,,"Tom Kenny, David Herman, Sarah Chalke, Kyle Kinane, Dana Snyder, Cedric Yarbrough, Grey Griffin, John DiMaggio, Roger Black, Waco O'Guin",United States,2021,TV-MA,3 Seasons,TV Comedies,"An eager young rookie joins the ragtag small-town police force led by his dad as they bumble, squabble and snort their way through a big drug case.",18+,6.9/10,60/100,1,0,0,0
298,TV Show,The One,,"Hannah Ware, ZoÃ« Tapper, Dimitri Leonidas, Amir El-Masry, Lois Chimimba, Eric Kofi-Abrefa, Pallavi Sharda, Jana PÃ©rez, Diarmaid Murtagh, Gregg Chillin, Wilf Scolding, Stephen Campbell Moore, Simone Kirby, Albano JerÃ³nimo, Eduardo Lloveras, Miguel Amorim",United Kingdom,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","Love â€” and lies â€” spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service.",18+,6.6/10,61/100,1,0,0,0
299,TV Show,Dealer,"Ange Basterga, Nicolas Lopez","Abdramane DiakitÃ©, Mohamed Boudouh, SÃ©bastien Houbani, Idir Azougli, Julien Meurice, Abdillah Assoumani, Jean-Toussaint Bernard, Romain Vissol",France,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Tensions erupt when two filmmakers infiltrate an area ruled by gangs to shoot a music video for a rapper in this gritty found-footage series.,18+,6.2/10,48/100,1,0,0,0
300,TV Show,Last Chance U: Basketball,,,,2021,TV-MA,1 Season,Docuseries,â€œLast Chance Uâ€ hits the hardwood in East Los Angeles as a coach with strong convictions leads young men who hope to fulfill major college potential.,18+,8.4/10,57/100,1,0,0,0
301,TV Show,Marriage or Mortgage,,,,2021,TV-G,1 Season,"Reality TV, Romantic TV Shows",A wedding planner and a real estate agent compete to win the hearts and budgets of spouses-to-be. Will they pick fairy-tale nuptials or a dream home?,,5.2/10,42/100,1,0,0,0
302,TV Show,The Houseboat,,"Olli Schulz, Fynn Kliemann",Germany,2021,TV-14,1 Season,"Docuseries, International TV Shows","With plenty of passion and little know-how, two musicians undertake a daunting project: turn a late singer's houseboat into a creative musical space.",18+,7.3/10,50/100,1,0,0,0
303,TV Show,Bombay Begums,,"Pooja Bhatt, Shahana Goswami, Amruta Subhash, Plabita Borthakur, Aadhya Anand, Manish Chaudhary, Vivek Gomber, Danish Husain, Rahul Bose, Imaaduddin Shah, Sanghmitra Hitaishi",India,2021,TV-MA,1 Season,"International TV Shows, TV Dramas","From boardrooms to society's margins, five ambitious women from various walks of life navigate dreams, desires and disappointments in modern Mumbai.",,4.9/10,48/100,1,0,0,0
304,TV Show,City of Ghosts,,"August NuÃ±ez, Blue Chapman, Kirikou S'hai Muldrow, Michael Ren, Angel Chipagua, Honor Calderon",United States,2021,TV-Y7,1 Season,Kids' TV,"Meet the Ghost Club! Their adventures take them all around Los Angeles as they interview ghosts, solve problems and learn about their city's history.",7+,8.0/10,49/100,1,0,1,0
305,TV Show,Nevenka: Breaking the Silence,Maribel SÃ¡nchez-Maroto,,Spain,2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows","Nevenka FernÃ¡ndez, the plaintiff in Spain's first successful lawsuit against a politician for sexual harassment, breaks her silence after 20 years.",,7.0/10,49/100,1,0,0,0
