id,type,title,director,cast,country,release_year,rating,duration,genre,description,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
28,TV Show,Wheel of Fortune,,"Pat Sajak, Vanna White",United States,2019,TV-G,3 Seasons,Reality TV,"Pat Sajak and Vanna White host one of TV's most popular, long-running game shows, where players spin a wheel for prizes and solve mystery phrases.",all,6.7/10,55/100,1,0,0,0
29,TV Show,Manifest,,"Melissa Roxburgh, Josh Dallas, Athena Karkanis, J.R. Ramirez, Luna Blaise, Jack Messina, Parveen Kaur",United States,2021,TV-14,3 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy","When a plane mysteriously lands years after takeoff, the people onboard return to a world that has moved on without them and face strange, new realities.",16+,7.2/10,81/100,1,1,0,0
30,TV Show,Go! Go! Cory Carson,,"Alan C. Lim, Paul Killam, Maisie Benson, Kerry Gudjohnsen, Smith Foreman, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Jim Capobianco, Anna Chambers, Pfifer Chastain",United States,2021,TV-Y,5 Seasons,Kids' TV,"Beep, beep â€“ go, go! Buckle up for fun and adventure with adorable kid car Cory Carson as he explores the winding roads of Bumperton Hills.",all,8.1/10,43/100,1,0,0,0
31,TV Show,Mother Goose Club,,,United States,2016,TV-Y,2 Seasons,Kids' TV,Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.,,7.4/10,43/100,1,0,0,0
32,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,,"Kaito Ishikawa, Asami Seto, Nao Toyama, Atsumi Tanezaki, Maaya Uchida, Yurika Kubo, Inori Minase",Japan,2018,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows","After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai.",16+,8.2/10,67/100,0,1,0,0
33,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,,,Japan,2018,TV-14,1 Season,"Anime, Comedy, Romance","Puberty syndrome â€“ Abnormal experiences rumored on the internet to be caused by sensitivity and instability during adolescence. This year, Sakuta Azusagawa, a second-year student at a high school near Enoshima, meets several girls that are experiencing this â€œpuberty syndrome.â€ For instance, he meets a wild bunny girl in the library. She turns out to be an actress on hiatus, Mai Sakurajima, who is also his senior at the school. For some reason, no one else can see this enchanting girl. How did she become invisibleâ€¦? As Sakuta searches for answers to help Mai, they spend more time together, and he eventually learns of her hidden feelingsâ€¦ This is an unusual story that takes place in a town of bright skies and glistening seas, where Sakuta encounters various intriguing girls.",16+,8.2/10,67/100,0,1,0,0
34,TV Show,Winx Club,,"Liza Jacqueline, Helena Evangeliou, Lisa Ortiz, Kerry Williams, Gregory Abbey, Dan Green, Michael Sinterniklaas, Suzy Myers, Christina Rodriguez, Dani Schaffel, Sebastian Arcelus, Rachael Lillis",Italy,2015,TV-Y7,2 Seasons,Kids' TV,"In this animated fantasy, a girl named Bloom befriends a band of fairies, then follows them into the secretive and dangerous ""Magical Dimension.""",all,6.2/10,57/100,1,0,0,0
35,TV Show,Winx Club,,"Haven Paschall, Jessica Paquet",,2015,ALL,1 Season,"Animation, Kids","In their new adventure, the Winx travel in the main worlds of the Magic Universe (Earth included) to rescue the Fairy Animals from the menace of Kalshara, an evil shapeshifter, and her brother Brafilius, a clumsy wizard. During their mission the Winx get the Butterflix power, thanks to which they can have a magical and affective bonding with six Fairy Animals.",all,6.2/10,57/100,1,0,0,0
36,TV Show,Fast & Furious Spy Racers,,"Tyler Posey, Charlet Chung, Jorge Diaz, Camille Ramsey, Luke Youngblood, RenÃ©e Elise Goldsberry",United States,2021,TV-Y7,5 Seasons,Kids' TV,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.,7+,5.5/10,62/100,1,0,0,0
37,TV Show,Grace and Frankie,,"Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston, June Diane Raphael, Brooklyn Decker, Ethan Embry, Baron Vaughn",United States,2021,TV-MA,7 Seasons,"TV Comedies, TV Dramas","Theyâ€™re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.",18+,8.3/10,80/100,1,0,0,0
38,TV Show,Valeria,Inma Torrente,"Diana GÃ³mez, Silma LÃ³pez, Paula Malia, Teresa Riott, Maxi Iglesias, Ibrahim Al Shami",Spain,2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by ElÃ­sabet Benavent.",18+,6.2/10,52/100,1,0,0,0
39,TV Show,Gabby's Dollhouse,,"Laila Lockhart Kraner, Tucker Chandler, Juliet Donenfeld, Maggi Lowe, Donovan Patton, Eduardo Franco, Tara Strong, Secunda Wood, Carla Tassara, Sainty Nelsen",United States,2021,TV-Y,2 Seasons,Kids' TV,"Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures.",all,7.1/10,46/100,1,0,0,0
40,TV Show,Car Masters: Rust to Riches,,"Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike ""Caveman"" Pyle",,2021,TV-PG,3 Seasons,Reality TV,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.",7+,8.8/10,61/100,1,0,0,0
